Name,Start,End,Len
ECL,2001-01-02,2021-05-24,5130
DD,2001-01-02,2021-05-24,5130
ETSY,2015-04-16,2021-05-24,1538
DFS,2007-06-14,2021-05-24,3511
SLB,2001-01-02,2021-05-24,5130
CL,2001-01-02,2021-05-24,5130
ROK,2001-01-02,2021-05-24,5130
LB,2001-01-02,2021-05-24,5130
AMT,2001-01-02,2021-05-24,5130
AJG,2001-01-02,2021-05-24,5130
MLM,2001-01-02,2021-05-24,5130
REGN,2001-01-02,2021-05-24,5130
O,2001-01-02,2021-05-24,5130
AMP,2005-09-15,2021-05-24,3949
ZBRA,2001-01-02,2021-05-24,5130
IEX,2001-01-02,2021-05-24,5130
VTR,2001-01-02,2021-05-24,5130
TPR,2001-01-02,2021-05-24,5130
TT,2001-01-02,2021-05-24,5130
CERN,2001-01-02,2021-05-24,5130
AEE,2001-01-02,2021-05-24,5130
CVS,2001-01-02,2021-05-24,5130
AFL,2001-01-02,2021-05-24,5130
ADI,2001-01-02,2021-05-24,5130
VLO,2001-01-02,2021-05-24,5130
FBHS,2011-09-16,2021-05-24,2437
BKR,2001-01-02,2021-05-24,5130
CAG,2001-01-02,2021-05-24,5130
LYV,2005-12-21,2021-05-24,3881
GM,2010-11-18,2021-05-24,2645
WM,2001-01-02,2021-05-24,5130
CTXS,2001-01-02,2021-05-24,5130
D,2001-01-02,2021-05-24,5130
EQR,2001-01-02,2021-05-24,5130
IR,2017-05-12,2021-05-24,1015
USB,2001-01-02,2021-05-24,5130
DUK,2001-01-02,2021-05-24,5130
CBRE,2004-06-10,2021-05-24,4268
PYPL,2015-07-06,2021-05-24,1483
COO,2001-01-02,2021-05-24,5130
FDX,2001-01-02,2021-05-24,5130
KLAC,2001-01-02,2021-05-24,5130
MMM,2001-01-02,2021-05-24,5130
MKC,2001-01-02,2021-05-24,5130
CAH,2001-01-02,2021-05-24,5130
DISCK,2008-09-18,2021-05-24,3192
T,2001-01-02,2021-05-24,5130
ABMD,2001-01-02,2021-05-24,5130
AZO,2001-01-02,2021-05-24,5130
IRM,2001-01-02,2021-05-24,5130
DOV,2001-01-02,2021-05-24,5130
RJF,2001-01-02,2021-05-24,5130
ICE,2005-11-16,2021-05-24,3905
PAYC,2014-04-15,2021-05-24,1790
MET,2001-01-02,2021-05-24,5130
INFO,2014-06-19,2021-05-24,1745
PLD,2001-01-02,2021-05-24,5130
APH,2001-01-02,2021-05-24,5130
TMUS,2007-04-19,2021-05-24,3550
CTSH,2001-01-02,2021-05-24,5130
WDC,2001-01-02,2021-05-24,5130
FFIV,2001-01-02,2021-05-24,5130
BBY,2001-01-02,2021-05-24,5130
BEN,2001-01-02,2021-05-24,5130
KMI,2011-02-11,2021-05-24,2587
PSA,2001-01-02,2021-05-24,5130
AMGN,2001-01-02,2021-05-24,5130
FLT,2010-12-15,2021-05-24,2627
WELL,2001-01-02,2021-05-24,5130
MHK,2001-01-02,2021-05-24,5130
FANG,2012-10-12,2021-05-24,2166
BMY,2001-01-02,2021-05-24,5130
JCI,2001-01-02,2021-05-24,5130
KSU,2001-01-02,2021-05-24,5130
SJM,2001-01-02,2021-05-24,5130
BXP,2001-01-02,2021-05-24,5130
TFX,2001-01-02,2021-05-24,5130
CF,2005-08-11,2021-05-24,3973
STT,2001-01-02,2021-05-24,5130
RF,2001-01-02,2021-05-24,5130
PTC,2001-01-02,2021-05-24,5130
PBCT,2001-01-02,2021-05-24,5130
MO,2001-01-02,2021-05-24,5130
NTRS,2001-01-02,2021-05-24,5130
MRK,2001-01-02,2021-05-24,5130
BDX,2001-01-02,2021-05-24,5130
GPC,2001-01-02,2021-05-24,5130
ORLY,2001-01-02,2021-05-24,5130
HWM,2001-01-02,2021-05-24,5130
OXY,2001-01-02,2021-05-24,5130
DHR,2001-01-02,2021-05-24,5130
MSCI,2007-11-15,2021-05-24,3403
WRK,2015-06-24,2021-05-24,1490
ALB,2001-01-02,2021-05-24,5130
SBUX,2001-01-02,2021-05-24,5130
EW,2001-01-02,2021-05-24,5130
FAST,2001-01-02,2021-05-24,5130
HD,2001-01-02,2021-05-24,5130
SPGI,2001-01-02,2021-05-24,5130
FIS,2001-06-20,2021-05-24,5013
SRE,2001-01-02,2021-05-24,5130
V,2008-03-19,2021-05-24,3319
TTWO,2001-01-02,2021-05-24,5130
DLR,2004-10-29,2021-05-24,4170
ETR,2001-01-02,2021-05-24,5130
ATVI,2001-01-02,2021-05-24,5130
HRL,2001-01-02,2021-05-24,5130
HES,2001-01-02,2021-05-24,5130
FISV,2001-01-02,2021-05-24,5130
FTNT,2009-11-18,2021-05-24,2897
ABT,2001-01-02,2021-05-24,5130
COP,2001-01-02,2021-05-24,5130
CDW,2013-06-27,2021-05-24,1991
DVA,2001-01-02,2021-05-24,5130
PWR,2001-01-02,2021-05-24,5130
ACN,2001-07-19,2021-05-24,4993
CMG,2006-01-26,2021-05-24,3858
PRGO,2001-01-02,2021-05-24,5130
JNPR,2001-01-02,2021-05-24,5130
HOLX,2001-01-02,2021-05-24,5130
DTE,2001-01-02,2021-05-24,5130
ETN,2001-01-02,2021-05-24,5130
UDR,2001-01-02,2021-05-24,5130
MCD,2001-01-02,2021-05-24,5130
LHX,2001-01-02,2021-05-24,5130
NEE,2001-01-02,2021-05-24,5130
WY,2001-01-02,2021-05-24,5130
MGM,2001-01-02,2021-05-24,5130
DISH,2001-01-02,2021-05-24,5130
LYB,2010-04-28,2021-05-24,2788
ALL,2001-01-02,2021-05-24,5130
CZR,2014-09-22,2021-05-24,1680
ROP,2001-01-02,2021-05-24,5130
SEE,2001-01-02,2021-05-24,5130
NRG,2003-12-02,2021-05-24,4399
UAA,2005-11-18,2021-05-24,3903
AON,2001-01-02,2021-05-24,5130
NOW,2012-06-29,2021-05-24,2239
WMB,2001-01-02,2021-05-24,5130
COST,2001-01-02,2021-05-24,5130
ISRG,2001-01-02,2021-05-24,5130
NVR,2001-01-02,2021-05-24,5130
NUE,2001-01-02,2021-05-24,5130
STX,2002-12-11,2021-05-24,4644
MTD,2001-01-02,2021-05-24,5130
UNH,2001-01-02,2021-05-24,5130
HII,2011-03-22,2021-05-24,2561
CME,2002-12-06,2021-05-24,4647
BLK,2001-01-02,2021-05-24,5130
DG,2009-11-13,2021-05-24,2900
BIO,2001-01-02,2021-05-24,5130
C,2001-01-02,2021-05-24,5130
MA,2006-05-25,2021-05-24,3775
